time_s,bus1_v_pu,bus6_v_pu,gen1_angle_deg,gen2_angle_deg,gen1_speed_pu,freq_hz
0.000,1.0000,0.9940,0.000,5.230,1.00000,60.000
0.500,0.9990,0.9920,4.840,9.880,1.00010,60.008
1.000,0.9980,0.9910,8.740,13.44,1.00020,60.012
1.017,0.8340,0.5580,10.88,16.14,0.99960,59.934
1.083,0.9410,0.8410,22.44,29.88,0.99890,59.784
1.100,0.9520,0.8620,23.14,30.44,0.99910,59.812
1.200,0.9740,0.9310,23.40,28.88,0.99920,59.912
2.000,0.9880,0.9680,16.88,22.44,0.99980,59.991
5.000,0.9940,0.9780,11.24,16.44,1.00000,60.000
10.00,0.9970,0.9810,10.44,15.88,1.00000,60.000
