time_s,bus1_v_pu,bus6_v_pu,gen1_angle_deg,gen2_angle_deg,gen1_speed_pu,freq_hz
0.000,1.0000,1.0140,0.000,5.230,1.00000,60.000
0.500,0.9990,1.0110,3.880,7.440,1.00010,60.004
1.000,0.9990,1.0090,7.440,11.44,1.00010,60.007
1.017,0.8780,0.6440,9.440,13.88,0.99970,59.964
1.083,0.9510,0.8840,17.44,22.44,0.99920,59.848
1.100,0.9620,0.9010,18.14,23.14,0.99940,59.874
1.200,0.9780,0.9440,18.88,23.88,0.99940,59.904
2.000,0.9910,0.9740,13.44,17.44,0.99990,59.994
5.000,0.9960,0.9840,9.440,12.88,1.00000,60.000
10.00,0.9980,0.9870,8.880,12.14,1.00000,60.000
