bus,name,type,v_pu,angle_deg,pgen_mw,qgen_mvar,pload_mw,qload_mvar,ploss_mw
1,BUS-1,SLACK,1.0600,0.00,178.4,-8.1,0.0,0.0,1.2
2,BUS-2,PV,1.0430,-4.12,40.0,38.7,21.7,12.7,0.3
5,BUS-5,PV,1.0100,-12.54,0.0,31.8,94.2,19.0,0.0
8,BUS-8,PV,1.0100,-10.88,0.0,32.4,30.0,30.0,0.0
13,BUS-13,PV,1.0710,-13.54,85.0,24.8,0.0,0.0,0.0
22,BUS-22,PV,1.0350,-14.88,60.0,12.4,0.0,0.0,0.0
28,BUS-28,PQ,1.0220,-10.54,0.0,0.0,0.0,0.0,0.0
29,BUS-29,PQ,1.0180,-14.88,0.0,0.0,2.4,0.9,0.0
30,BUS-30,PQ,1.0140,-15.44,0.0,0.0,510.6,99.4,0.0
31,BUS-31,PQ,1.0080,-16.88,0.0,0.0,500.0,97.8,0.0
32,BUS-32,PV,1.0250,-14.12,400.0,88.4,0.0,0.0,0.0
33,BUS-33,PV,1.0200,-13.88,300.0,64.2,0.0,0.0,0.0
